Date,S&P Cryptocurrency Broad Digital Market Index (USD)
2018-03-29,799.16
2018-03-30,744.45
2018-04-02,758.5
2018-04-03,816.37
2018-04-04,749.73
2018-04-05,740.29
2018-04-06,722.68
2018-04-09,736.95
2018-04-10,761.13
2018-04-11,778.24
2018-04-12,865.28
2018-04-13,932.02
2018-04-16,923.16
2018-04-17,922.2
2018-04-18,963.23
2018-04-19,1003.66
2018-04-20,1068.33
2018-04-23,1117.42
2018-04-24,1222.89
2018-04-25,1124.97
2018-04-26,1119.56
2018-04-27,1159.56
2018-04-30,1203.72
2018-05-01,1161.16
2018-05-02,1197.19
2018-05-03,1272.23
2018-05-04,1277.2
2018-05-07,1247.52
2018-05-08,1225.31
2018-05-09,1229.14
2018-05-10,1195.17
2018-05-11,1108.12
2018-05-14,1147.03
2018-05-15,1106.34
2018-05-16,1065.35
2018-05-17,1050.51
2018-05-18,1058.74
2018-05-21,1071.87
2018-05-22,1036.99
2018-05-23,940.42
2018-05-24,951.08
2018-05-25,926.08
2018-05-28,877.28
2018-05-29,922.43
2018-05-30,897.69
2018-05-31,936.83
2018-06-01,925.76
2018-06-04,947.79
2018-06-05,969.42
2018-06-06,953.26
2018-06-07,973.11
2018-06-08,961.81
2018-06-11,829.72
2018-06-12,790.99
2018-06-13,757.99
2018-06-14,819.02
2018-06-15,797.78
2018-06-18,813.4
2018-06-19,825.72
2018-06-20,821.87
2018-06-21,812.45
2018-06-22,739.66
2018-06-25,729.55
2018-06-26,708.54
2018-06-27,704.79
2018-06-28,698.14
2018-06-29,666.15
2018-07-02,772.21
2018-07-03,765.6
2018-07-04,776.52
2018-07-05,750.65
2018-07-06,755.49
2018-07-09,767.55
2018-07-10,719.9
2018-07-11,715.89
2018-07-12,697.26
2018-07-13,699.31
2018-07-16,770.03
2018-07-17,830.15
2018-07-18,829.31
2018-07-19,821.19
2018-07-20,792.37
2018-07-23,820.6
2018-07-24,868.24
2018-07-25,863.03
2018-07-26,871.21
2018-07-27,861.1
2018-07-30,840.88
2018-07-31,802.22
2018-08-01,783.05
2018-08-02,770.42
2018-08-03,761.85
2018-08-06,727.33
2018-08-07,724.07
2018-08-08,648.08
2018-08-09,659.35
2018-08-10,648.72
2018-08-13,595.56
2018-08-14,564.43
2018-08-15,599.76
2018-08-16,607.26
2018-08-17,627.56
2018-08-20,613.65
2018-08-21,605.64
2018-08-22,600.11
2018-08-23,601.15
2018-08-24,619.87
2018-08-27,631.75
2018-08-28,671.18
2018-08-29,658.97
2018-08-30,635.86
2018-08-31,660.17
2018-09-03,688.67
2018-09-04,687.51
2018-09-05,622.22
2018-09-06,584.98
2018-09-07,578.76
2018-09-10,556.05
2018-09-11,543.58
2018-09-12,545.07
2018-09-13,568.18
2018-09-14,579.37
2018-09-17,548.81
2018-09-18,560.34
2018-09-19,570.35
2018-09-20,576.6
2018-09-21,635.28
2018-09-24,614.27
2018-09-25,578.19
2018-09-26,601.61
2018-09-27,626.68
2018-09-28,619.37
2018-10-01,613.37
2018-10-02,611.38
2018-10-03,596.41
2018-10-04,611.28
2018-10-05,607.4
2018-10-08,618.63
2018-10-09,611.47
2018-10-10,606.76
2018-10-11,560.23
2018-10-12,561
2018-10-15,578.81
2018-10-16,585.49
2018-10-17,586.01
2018-10-18,578.93
2018-10-19,578.3
2018-10-22,579.68
2018-10-23,580.64
2018-10-24,582.05
2018-10-25,579.98
2018-10-26,578.91
2018-10-29,559.58
2018-10-30,560.02
2018-10-31,566.27
2018-11-01,567.61
2018-11-02,575.88
2018-11-05,589.77
2018-11-06,602.16
2018-11-07,608.47
2018-11-08,597.19
2018-11-09,586.92
2018-11-12,586.8
2018-11-13,581.3
2018-11-14,499.59
2018-11-15,500.41
2018-11-16,499.46
2018-11-19,443.46
2018-11-20,389.38
2018-11-21,399.68
2018-11-22,397.22
2018-11-23,374.9
2018-11-26,326.06
2018-11-27,329.47
2018-11-28,381.9
2018-11-29,367.03
2018-11-30,348.57
2018-12-03,335.22
2018-12-04,337.32
2018-12-05,324.16
2018-12-06,310.56
2018-12-07,284.87
2018-12-10,290.27
2018-12-11,284.5
2018-12-12,293.49
2018-12-13,275.97
2018-12-14,268.73
2018-12-17,307.1
2018-12-18,304.33
2018-12-19,326.95
2018-12-20,343.92
2018-12-21,335.58
2018-12-24,368.36
