Date,S&P Cryptocurrency Broad Digital Market Index (USD)
2021-11-17,5574.43
2021-11-18,5324.24
2021-11-19,5445.32
2021-11-22,5265.55
2021-11-23,5518.31
2021-11-24,5415.19
2021-11-25,5616.55
2021-11-26,5195.9
2021-11-29,5491.34
2021-11-30,5538.29
2021-12-01,5493.38
2021-12-02,5518.99
2021-12-03,5172.05
2021-12-06,4759.93
2021-12-07,4901.14
2021-12-08,4986.11
2021-12-09,4668.24
2021-12-10,4671.23
2021-12-13,4404.16
2021-12-14,4523.6
2021-12-15,4740.85
2021-12-16,4666.64
2021-12-17,4477.46
2021-12-20,4600
2021-12-21,4737.4
2021-12-22,4810.25
2021-12-23,5007.34
2021-12-24,5005.46
2021-12-27,5087.61
2021-12-28,4724.41
2021-12-29,4667.16
2021-12-30,4648.2
2021-12-31,4510.88
2022-01-03,4579.95
2022-01-04,4646.6
2022-01-05,4368.55
2022-01-06,4284.18
2022-01-07,4100.53
2022-01-10,3990.12
2022-01-11,4145.92
2022-01-12,4308.33
2022-01-13,4200.09
2022-01-14,4239.82
2022-01-17,4133.55
2022-01-18,4053.58
2022-01-19,4024.72
2022-01-20,4127.75
2022-01-21,3625.83
2022-01-24,3378.34
2022-01-25,3346.3
2022-01-26,3380.22
2022-01-27,3207.38
2022-01-28,3391.6
2022-01-31,3497.17
2022-02-01,3539.35
2022-02-02,3472.4
2022-02-03,3338.22
2022-02-04,3722.57
2022-02-07,4064.29
2022-02-08,4030.04
2022-02-09,4126.44
2022-02-10,4010.39
2022-02-11,3805.53
2022-02-14,3759.36
2022-02-15,3978.38
2022-02-16,3993.03
2022-02-17,3696.64
2022-02-18,3600.35
2022-02-21,3413.94
2022-02-22,3356.58
2022-02-23,3374.53
2022-02-24,3390.6
2022-02-25,3475.15
2022-02-28,3690.07
2022-03-01,3869.39
2022-03-02,3829.73
2022-03-03,3674.1
2022-03-04,3461.24
2022-03-07,3280.11
2022-03-08,3364.12
2022-03-09,3607.82
2022-03-10,3472.78
2022-03-11,3354.36
2022-03-14,3362.08
2022-03-15,3460.47
2022-03-16,3565.13
2022-03-17,3603.88
2022-03-18,3716.14
2022-03-21,3681.93
2022-03-22,3770.36
2022-03-23,3783.2
2022-03-24,3952.65
2022-03-25,3956.07
2022-03-28,4317.12
2022-03-29,4306.41
2022-03-30,4290.66
2022-03-31,4157.11
2022-04-01,4295.47
2022-04-04,4266.68
2022-04-05,4259.1
2022-04-06,3994.05
2022-04-07,3971.47
2022-04-08,3925.7
2022-04-11,3628.84
2022-04-12,3584.44
2022-04-13,3740.82
2022-04-14,3628.04
2022-04-15,3678.87
2022-04-18,3681.94
2022-04-19,3777.98
2022-04-20,3746.88
2022-04-21,3730.35
2022-04-22,3611.53
2022-04-25,3641.63
2022-04-26,3448.91
2022-04-27,3487.14
2022-04-28,3579.85
2022-04-29,3418.4
2022-05-02,3403.13
2022-05-03,3336.51
2022-05-04,3558.93
2022-05-05,3254.46
2022-05-06,3229.67
2022-05-09,2701.78
2022-05-10,2752.37
2022-05-11,2422.63
2022-05-12,2311.9
2022-05-13,2465.25
2022-05-16,2434.01
2022-05-17,2473.47
2022-05-18,2392.63
2022-05-19,2424.63
2022-05-20,2383.91
2022-05-23,2389.47
2022-05-24,2390.17
2022-05-25,2395.82
2022-05-26,2314.73
2022-05-27,2253.12
2022-05-30,2427.78
2022-05-31,2485.22
2022-06-01,2354.45
2022-06-02,2367.12
2022-06-03,2294.13
2022-06-06,2429
2022-06-07,2403
2022-06-08,2338.02
2022-06-09,2328.77
2022-06-10,2224.79
2022-06-13,1744.36
2022-06-14,1694.57
2022-06-15,1671.8
2022-06-16,1600.73
2022-06-17,1584.31
2022-06-20,1586.57
2022-06-21,1644.25
2022-06-22,1586.84
2022-06-23,1655.08
2022-06-24,1724.55
2022-06-27,1682.45
2022-06-28,1630.95
2022-06-29,1609.4
2022-06-30,1504.09
2022-07-01,1547.22
2022-07-04,1594.63
2022-07-05,1629.38
2022-07-06,1633.51
2022-07-07,1746.46
2022-07-08,1736.98
2022-07-11,1632.7
2022-07-12,1535.01
2022-07-13,1560.82
2022-07-14,1659.17
2022-07-15,1716.13
2022-07-18,1818.62
2022-07-19,1954.5
2022-07-20,1950.36
2022-07-21,1938.43
2022-07-22,1883.52
2022-07-25,1827.66
2022-07-26,1727.22
2022-07-27,1916.27
2022-07-28,2028.53
2022-07-29,2044.99
2022-08-01,1963.49
2022-08-02,1965.86
2022-08-03,2010.91
2022-08-04,1940.81
2022-08-05,2004.52
2022-08-08,2103.28
2022-08-09,2016.83
2022-08-10,2100.51
2022-08-11,2154.44
2022-08-12,2166.46
2022-08-15,2136.27
2022-08-16,2127.63
2022-08-17,2071.49
2022-08-18,2076.92
2022-08-19,1890.82
2022-08-22,1833.97
2022-08-23,1893.3
2022-08-24,1915.06
2022-08-25,1919.91
2022-08-26,1805.08
2022-08-29,1766.45
2022-08-30,1762.33
2022-08-31,1788.02
2022-09-01,1764.77
2022-09-02,1766.84
2022-09-05,1771.81
2022-09-06,1711.48
2022-09-07,1726.43
2022-09-08,1781.98
2022-09-09,1904.18
2022-09-12,1961.44
2022-09-13,1802.49
2022-09-14,1782.99
2022-09-15,1738.25
2022-09-16,1708.25
2022-09-19,1675.75
2022-09-20,1642.95
2022-09-21,1635.27
2022-09-22,1657.15
2022-09-23,1623.99
2022-09-26,1654.41
2022-09-27,1641.87
2022-09-28,1670.78
2022-09-29,1664.13
2022-09-30,1671.06
2022-10-03,1665.94
2022-10-04,1718.87
2022-10-05,1708.96
2022-10-06,1704.87
2022-10-07,1664.41
2022-10-10,1642.11
2022-10-11,1610.43
2022-10-12,1620.9
2022-10-13,1625.46
2022-10-14,1617.69
2022-10-17,1651.64
2022-10-18,1625.92
2022-10-19,1623.5
2022-10-20,1600.12
2022-10-21,1613.78
2022-10-24,1639.79
2022-10-25,1744.45
2022-10-26,1788.2
2022-10-27,1782.13
2022-10-28,1786.87
2022-10-31,1790.72
2022-11-01,1794.73
2022-11-02,1764.7
2022-11-03,1784.68
2022-11-04,1879.54
2022-11-07,1842.1
2022-11-08,1576.76
2022-11-09,1431.61
2022-11-10,1564.13
2022-11-11,1444.69
2022-11-14,1402.22
2022-11-15,1449.82
2022-11-16,1418.96
2022-11-17,1420.22
2022-11-18,1422.45
2022-11-21,1331.38
2022-11-22,1362.45
2022-11-23,1421.13
2022-11-24,1426.18
2022-11-25,1424.52
2022-11-28,1399.41
2022-11-29,1427.91
2022-11-30,1483.88
2022-12-01,1465.02
2022-12-02,1480.46
2022-12-05,1462.34
2022-12-06,1462.24
2022-12-07,1439.8
2022-12-08,1477.4
2022-12-09,1465.6
2022-12-12,1456
2022-12-13,1501.12
2022-12-14,1496.89
2022-12-15,1464.25
2022-12-16,1403.87
2022-12-19,1362.87
2022-12-20,1390.82
2022-12-21,1381.92
2022-12-22,1383.82
2022-12-23,1386.63
2022-12-26,1387.34
2022-12-27,1375.44
2022-12-28,1361.7
2022-12-29,1358.11
2022-12-30,1358.74
2023-01-02,1385.4
2023-01-03,1378.69
2023-01-04,1405.51
2023-01-05,1410.75
2023-01-06,1415.47
2023-01-09,1469.89
2023-01-10,1494.91
2023-01-11,1496.87
2023-01-12,1603
2023-01-13,1626.79
2023-01-16,1778.7
2023-01-17,1786.3
2023-01-18,1714.5
2023-01-19,1748.74
2023-01-20,1845.06
2023-01-23,1891.03
2023-01-24,1884.5
2023-01-25,1866.6
2023-01-26,1890.62
2023-01-27,1894.56
2023-01-30,1848.27
2023-01-31,1888.17
2023-02-01,1930.75
2023-02-02,1976.53
2023-02-03,1945.4
2023-02-06,1928.62
2023-02-07,1953.97
2023-02-08,1922.58
2023-02-09,1843.52
2023-02-10,1815.4
2023-02-13,1786.3
2023-02-14,1849.34
2023-02-15,1987.86
2023-02-16,2012.9
2023-02-17,2045.56
2023-02-20,2054.53
2023-02-21,2018.53
2023-02-22,1963
2023-02-23,1985.34
2023-02-24,1922.92
2023-02-27,1927.16
2023-02-28,1923.14
2023-03-01,1937.74
2023-03-02,1932.41
2023-03-03,1837.31
2023-03-06,1831.74
2023-03-07,1805.83
2023-03-08,1805.73
2023-03-09,1645.39
2023-03-10,1646.01
2023-03-13,1956.28
2023-03-14,2014.83
2023-03-15,1936.03
2023-03-16,1985.45
2023-03-17,2097.16
2023-03-20,2132.54
2023-03-21,2166.78
2023-03-22,2055.2
2023-03-23,2177.27
2023-03-24,2122.11
2023-03-27,2045.87
2023-03-28,2102.4
2023-03-29,2163.63
2023-03-30,2129.04
2023-03-31,2172.36
2023-04-03,2149.66
2023-04-04,2170.9
2023-04-05,2186.63
2023-04-06,2163.98
2023-04-07,2150.54
2023-04-10,2219.49
2023-04-11,2271.59
2023-04-12,2252.29
2023-04-13,2319.93
2023-04-14,2351.09
2023-04-17,2321.38
2023-04-18,2359.47
2023-04-19,2263.27
2023-04-20,2181.17
2023-04-21,2107.12
2023-04-24,2114.64
2023-04-25,2124.01
2023-04-26,2130.29
2023-04-27,2249.02
2023-04-28,2218.22
2023-05-01,2119.39
2023-05-02,2177.33
2023-05-03,2155.43
2023-05-04,2184.17
2023-05-05,2250.54
2023-05-08,2070.58
2023-05-09,2095.69
2023-05-10,2099.22
2023-05-11,2028.65
2023-05-12,2017.56
2023-05-15,2082.15
2023-05-16,2052.04
2023-05-17,2086.23
2023-05-18,2038.7
2023-05-19,2049.84
2023-05-22,2050.57
2023-05-23,2077.21
2023-05-24,2009.06
2023-05-25,2024.48
2023-05-26,2048.46
2023-05-29,2108.44
2023-05-30,2124.26
2023-05-31,2065.71
,
,
,
